baseline	commit	folder	strategy	deleted	changedFilesInFolder	changedFilesOutsideFolder	buildErrors	buildOK	expected	verdict
R3	23ad2547	Features	skipReferenced	1441	280	0	4	FAIL	ok	UNEXPECTED-FAIL
R3	23ad2547	Features	forceRemoveAll	2219	354	0	25	FAIL	maybe	info
R3	23ad2547	Features	cascade	2219	354	0	25	FAIL	ok	UNEXPECTED-FAIL
R3	23ad2547	Shared	skipReferenced	657	129	0	7	FAIL	ok	UNEXPECTED-FAIL
R3	23ad2547	Shared	forceRemoveAll	964	143	0	35	FAIL	maybe	info
R3	23ad2547	Shared	cascade	964	143	0	35	FAIL	ok	UNEXPECTED-FAIL
R3	23ad2547	App	skipReferenced	155	24	0	0	OK	ok	PASS
R3	23ad2547	App	forceRemoveAll	234	25	0	0	OK	maybe	info
R3	23ad2547	App	cascade	234	25	0	0	OK	ok	PASS
R3	23ad2547	Engine	skipReferenced	22	7	0	7	FAIL	ok	UNEXPECTED-FAIL
R3	23ad2547	Engine	forceRemoveAll	35	8	0	0	OK	maybe	info
R3	23ad2547	Engine	cascade	35	8	0	0	OK	ok	PASS
R3	23ad2547	Core	skipReferenced	7	3	0	0	OK	ok	PASS
R3	23ad2547	Core	forceRemoveAll	15	6	0	3	FAIL	maybe	info
R3	23ad2547	Core	cascade	15	6	0	3	FAIL	ok	UNEXPECTED-FAIL
R3	23ad2547	Depreciated	skipReferenced	6	2	0	0	OK	ok	PASS
R3	23ad2547	Depreciated	forceRemoveAll	9	4	0	0	OK	maybe	info
R3	23ad2547	Depreciated	cascade	9	4	0	0	OK	ok	PASS
RMay	96e372e4	Features	skipReferenced	311	90	0	2	FAIL	ok	UNEXPECTED-FAIL
RMay	96e372e4	Features	forceRemoveAll	1754	258	0	11	FAIL	maybe	info
RMay	96e372e4	Features	cascade	1754	258	0	11	FAIL	ok	UNEXPECTED-FAIL
RMay	96e372e4	Shared	skipReferenced	204	71	0	3	FAIL	ok	UNEXPECTED-FAIL
RMay	96e372e4	Shared	forceRemoveAll	438	101	0	16	FAIL	maybe	info
RMay	96e372e4	Shared	cascade	438	101	0	16	FAIL	ok	UNEXPECTED-FAIL
RMay	96e372e4	App	skipReferenced	28	6	0	0	OK	ok	PASS
RMay	96e372e4	App	forceRemoveAll	143	19	0	0	OK	maybe	info
RMay	96e372e4	App	cascade	143	19	0	0	OK	ok	PASS
RMay	96e372e4	Engine	skipReferenced	5	2	0	0	OK	ok	PASS
RMay	96e372e4	Engine	forceRemoveAll	20	5	0	0	OK	maybe	info
RMay	96e372e4	Engine	cascade	20	5	0	0	OK	ok	PASS
RMay	96e372e4	Core	skipReferenced	1	1	0	0	OK	ok	PASS
RMay	96e372e4	Core	forceRemoveAll	6	4	0	0	OK	maybe	info
RMay	96e372e4	Core	cascade	6	4	0	0	OK	ok	PASS
RMay	96e372e4	Depreciated	skipReferenced	1	1	0	0	OK	ok	PASS
RMay	96e372e4	Depreciated	forceRemoveAll	3	2	0	0	OK	maybe	info
RMay	96e372e4	Depreciated	cascade	3	2	0	0	OK	ok	PASS
R5	a1711d27	Units	skipReferenced	122	43	0	0	OK	ok	PASS
R5	a1711d27	Units	forceRemoveAll	255	70	0	3	FAIL	maybe	info
R5	a1711d27	Units	cascade	255	70	0	3	FAIL	ok	UNEXPECTED-FAIL
R5	a1711d27	Projects	skipReferenced	76	28	0	0	OK	ok	PASS
R5	a1711d27	Projects	forceRemoveAll	179	46	0	4	FAIL	maybe	info
R5	a1711d27	Projects	cascade	179	46	0	4	FAIL	ok	UNEXPECTED-FAIL
R5	a1711d27	Main	skipReferenced	100	26	0	0	OK	ok	PASS
R5	a1711d27	Main	forceRemoveAll	194	40	0	0	OK	maybe	info
R5	a1711d27	Main	cascade	194	40	0	0	OK	ok	PASS
R5	a1711d27	CoreData	skipReferenced	93	20	0	10	FAIL	ok	UNEXPECTED-FAIL
R5	a1711d27	CoreData	forceRemoveAll	117	24	0	14	FAIL	maybe	info
R5	a1711d27	CoreData	cascade	117	24	0	14	FAIL	ok	UNEXPECTED-FAIL
R5	a1711d27	Components	skipReferenced	16	10	0	0	OK	ok	PASS
R5	a1711d27	Components	forceRemoveAll	115	20	0	0	OK	maybe	info
R5	a1711d27	Components	cascade	115	20	0	0	OK	ok	PASS
R5	a1711d27	App	skipReferenced	20	8	0	0	OK	ok	PASS
R5	a1711d27	App	forceRemoveAll	62	11	0	0	OK	maybe	info
R5	a1711d27	App	cascade	62	11	0	0	OK	ok	PASS
